date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:50:36	172/172	---M--	200	added ('OK')	text/plain	date:Tue,%2029%20Jul%202025%2015:50:36%20GMT	https://lacunafund.org/robots.txt		(from )
17:50:37	128462/128462	---M-Z	200	added ('OK')	text/html	date:Tue,%2029%20Jul%202025%2015:50:36%20GMT	https://lacunafund.org/	/Users/vima/websites/lacuna-fund/lacunafund.org/index.html	(from )
17:50:37	30999/30999	---M-Z	200	added ('OK')	text/css	etag:W/%2268880b81-7917%22	https://lacunafund.org/wp-content/plugins/counter-number-pro/assets/css/font-awesome/css/font-awesome.min.css?ver=6.8.2	/Users/vima/websites/lacuna-fund/lacunafund.org/wp-content/plugins/counter-number-pro/assets/css/font-awesome/css/font-awesome.min6c2d.css	(from https://lacunafund.org/)
17:50:38	13358/13358	---M-Z	200	added ('OK')	text/css	etag:W/%2268880b7f-342e%22	https://lacunafund.org/wp-content/plugins/counter-number-pro/assets/css/bootstrap-front.css?ver=6.8.2	/Users/vima/websites/lacuna-fund/lacunafund.org/wp-content/plugins/counter-number-pro/assets/css/bootstrap-front6c2d.css	(from https://lacunafund.org/)
17:50:39	1549/1549	---M-Z	200	added ('OK')	text/css	etag:W/%2268880b7f-60d%22	https://lacunafund.org/wp-content/plugins/counter-number-pro/assets/css/counter-column.css?ver=6.8.2	/Users/vima/websites/lacuna-fund/lacunafund.org/wp-content/plugins/counter-number-pro/assets/css/counter-column6c2d.css	(from https://lacunafund.org/)
17:50:41	78420/78420	---M-Z	200	added ('OK')	text/css	etag:W/%2268880b82-13254%22	https://lacunafund.org/wp-content/plugins/ultimate-social-media-icons/css/sfsi-style.css?ver=2.9.5	/Users/vima/websites/lacuna-fund/lacunafund.org/wp-content/plugins/ultimate-social-media-icons/css/sfsi-style76ed.css	(from https://lacunafund.org/)
17:50:41	111405/111405	---M-Z	200	added ('OK')	text/html	date:Tue,%2029%20Jul%202025%2015:50:40%20GMT	https://lacunafund.org/fr/	/Users/vima/websites/lacuna-fund/lacunafund.org/fr/index.html	(from https://lacunafund.org/)
17:50:41	102938/102938	---M-Z	200	added ('OK')	text/html	date:Tue,%2029%20Jul%202025%2015:50:41%20GMT	https://lacunafund.org/es/	/Users/vima/websites/lacuna-fund/lacunafund.org/es/index.html	(from https://lacunafund.org/)
17:50:41	3152/3152	---M-Z	200	added ('OK')	text/css	etag:W/%2268880b83-c50%22	https://lacunafund.org/wp-content/plugins/wpfront-notification-bar/css/wpfront-notification-bar.min.css?ver=3.5.1.05102	/Users/vima/websites/lacuna-fund/lacunafund.org/wp-content/plugins/wpfront-notification-bar/css/wpfront-notification-bar.min8bb8.css	(from https://lacunafund.org/)
17:50:43	87553/87553	---M-Z	200	added ('OK')	application/x-javascript	etag:W/%2268880b85-15601%22	https://lacunafund.org/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	/Users/vima/websites/lacuna-fund/lacunafund.org/wp-includes/js/jquery/jquery.minf43b.js	(from https://lacunafund.org/)
17:50:44	13577/13577	---M-Z	200	added ('OK')	application/x-javascript	etag:W/%2268880b85-3509%22	https://lacunafund.org/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	/Users/vima/websites/lacuna-fund/lacunafund.org/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://lacunafund.org/)
17:50:44	214986/214986	---M-Z	200	added ('OK')	text/css	etag:W/%2268880b83-347ca%22	https://lacunafund.org/wp-content/themes/meridian-microsite-theme/public/css/app.0395d5.css	/Users/vima/websites/lacuna-fund/lacunafund.org/wp-content/themes/meridian-microsite-theme/public/css/app.0395d5.css	(from https://lacunafund.org/)
17:50:45	1683/1683	---M-Z	200	added ('OK')	application/x-javascript	etag:W/%2268880b83-693%22	https://lacunafund.org/wp-content/plugins/wpfront-notification-bar/jquery-plugins/js-cookie.min.js?ver=2.2.1	/Users/vima/websites/lacuna-fund/lacunafund.org/wp-content/plugins/wpfront-notification-bar/jquery-plugins/js-cookie.min77e6.js	(from https://lacunafund.org/)
17:50:46	4737/4737	---M-Z	200	added ('OK')	application/x-javascript	etag:W/%2268880b81-1281%22	https://lacunafund.org/wp-content/plugins/wpfront-notification-bar/js/wpfront-notification-bar.min.js?ver=3.5.1.05102	/Users/vima/websites/lacuna-fund/lacunafund.org/wp-content/plugins/wpfront-notification-bar/js/wpfront-notification-bar.min8bb8.js	(from https://lacunafund.org/)
17:50:49	7160/7160	---M-Z	200	added ('OK')	application/json	date:Tue,%2029%20Jul%202025%2015:50:49%20GMT	https://lacunafund.org/wp-json/wp/v2/pages/464	/Users/vima/websites/lacuna-fund/lacunafund.org/wp-json/wp/v2/pages/464.json	(from https://lacunafund.org/)
17:50:49	146/146	---M-Z	403	error ('Forbidden')	text/html	date:Tue,%2029%20Jul%202025%2015:50:49%20GMT	https://lacunafund.org/xmlrpc.php?rsd	/Users/vima/websites/lacuna-fund/lacunafund.org/xmlrpc0db0.php	(from https://lacunafund.org/)
17:50:50	442102/442102	---M-Z	200	added ('OK')	application/json	date:Tue,%2029%20Jul%202025%2015:50:49%20GMT	https://lacunafund.org/wp-json/	/Users/vima/websites/lacuna-fund/lacunafund.org/wp-json/index.html	(from https://lacunafund.org/)
17:50:51	2245/2245	---M-Z	200	added ('OK')	application/json	date:Tue,%2029%20Jul%202025%2015:50:51%20GMT	https://lacunafund.org/wp-json/oembed/1.0/embed?url=https%3A%2F%2Flacunafund.org%2F	/Users/vima/websites/lacuna-fund/lacunafund.org/wp-json/oembed/1.0/embed68d3.json	(from https://lacunafund.org/)
